song_name,album,sung_by,year_released,highlights
"Follow","Brandi Carlile","Brandi Carlile",2005,"Opening track of debut album; showcases her raw folk-rock power from the start"
"What Can I Say","Brandi Carlile","Brandi Carlile",2005,"Early single; bright and melodic; featured on Rolling Stone's 10 Artists to Watch in 2005"
"Closer to You","Brandi Carlile","Brandi Carlile",2005,"Debut album track; tender and intimate"
"Throw It All Away","Brandi Carlile","Brandi Carlile",2005,"Re-recorded for the 2006 Columbia re-release; fan favourite from debut era"
"Happy","Brandi Carlile","Brandi Carlile",2005,"Solo-written debut album track; deceptively simple"
"Someday Never Comes","Brandi Carlile","Brandi Carlile",2005,"Debut album track; co-written with Tim Hanseroth"
"Fall Apart Again","Brandi Carlile","Brandi Carlile",2005,"Written by the Hanseroth twins; emotional standout from debut"
"In My Own Eyes","Brandi Carlile","Brandi Carlile",2005,"Solo-written debut track; introspective"
"Gone","Brandi Carlile","Brandi Carlile",2005,"Debut album track; co-written with Phil and Tim Hanseroth"
"Tragedy","Brandi Carlile","Brandi Carlile",2005,"Closing track of debut album; dramatic solo-written closer"
"Late Morning Lullaby","The Story","Brandi Carlile",2007,"Opening track of The Story; co-written with the Hanseroths; later covered by Shovels and Rope on Cover Stories"
"The Story","The Story","Brandi Carlile",2007,"Breakthrough single; US #75; used in GM Olympics commercials driving a 368% sales spike; famous for the vocal crack in the title track; T Bone Burnett production"
"Turpentine","The Story","Brandi Carlile",2007,"Second single from The Story; #1 on Rock Digital Song Sales; raw and urgent; later covered by Kris Kristofferson on Cover Stories"
"My Song","The Story","Brandi Carlile",2007,"Album track on The Story; later covered by Old Crow Medicine Show on Cover Stories"
"Wasted","The Story","Brandi Carlile",2007,"Album track; later covered by Jim James on Cover Stories"
"Have You Ever","The Story","Brandi Carlile",2007,"Hanseroth-written fan favourite from The Story; later covered by The Avett Brothers on Cover Stories"
"Josephine","The Story","Brandi Carlile",2007,"Album track; later covered by Anderson East featuring Miranda Lambert on Cover Stories"
"Losing Heart","The Story","Brandi Carlile",2007,"Album track; later covered by The Secret Sisters on Cover Stories"
"Cannonball","The Story","Brandi Carlile",2007,"Album track featuring Indigo Girls; later covered by Indigo Girls on Cover Stories"
"Until I Die","The Story","Brandi Carlile",2007,"Album track; later covered by Torres on Cover Stories"
"Downpour","The Story","Brandi Carlile",2007,"Album track; later covered by Margo Price on Cover Stories"
"Shadow on the Wall","The Story","Brandi Carlile",2007,"Closing track of The Story; later covered by Ruby Amanfu on Cover Stories"
"Looking Out","Give Up the Ghost","Brandi Carlile",2009,"Opening track of Give Up the Ghost; performed live at Benaroya Hall with Seattle Symphony"
"Dying Day","Give Up the Ghost","Brandi Carlile",2009,"Hanseroth-written fan favourite; performed live at Benaroya Hall"
"Pride and Joy","Give Up the Ghost","Brandi Carlile",2009,"Album track; performed live at Benaroya Hall with Seattle Symphony"
"Dreams","Give Up the Ghost","Brandi Carlile",2009,"Single from Give Up the Ghost; performed live at Benaroya Hall"
"That Year","Give Up the Ghost","Brandi Carlile",2009,"Single; performed live at Benaroya Hall"
"Caroline","Give Up the Ghost","Brandi Carlile",2009,"Album track; co-written with both Hanseroth twins"
"Before It Breaks","Give Up the Ghost","Brandi Carlile",2009,"Album track; also performed live at Benaroya Hall"
"I Will","Give Up the Ghost","Brandi Carlile",2009,"Album track; performed live at Benaroya Hall"
"If There Was No You","Give Up the Ghost","Brandi Carlile",2009,"Album track; co-written with Phil Hanseroth"
"Touching the Ground","Give Up the Ghost","Brandi Carlile",2009,"Hanseroth-written album track"
"Oh Dear","Give Up the Ghost","Brandi Carlile",2009,"Closing track of Give Up the Ghost; co-written with Phil Hanseroth"
"Hard Way Home","Bear Creek","Brandi Carlile",2012,"Opening track of Bear Creek; stripped-back acoustic production"
"Raise Hell","Bear Creek","Brandi Carlile",2012,"Gospel-influenced fan favourite from Bear Creek; rousing live staple"
"Save Part of Yourself","Bear Creek","Brandi Carlile",2012,"Album track on Bear Creek"
"That Wasn't Me","Bear Creek","Brandi Carlile",2012,"Lead single from Bear Creek; AUS #41; reflective and emotionally direct"
"Keep Your Heart Young","Bear Creek","Brandi Carlile",2012,"Single from Bear Creek; warm and hopeful"
"100","Bear Creek","Brandi Carlile",2012,"Album track; intimate and sparse"
"A Promise to Keep","Bear Creek","Brandi Carlile",2012,"Album track on Bear Creek"
"I'll Still Be There","Bear Creek","Brandi Carlile",2012,"Album track on Bear Creek"
"What Did I Ever Come Here For","Bear Creek","Brandi Carlile",2012,"Album track on Bear Creek"
"Hearts Content","Bear Creek","Brandi Carlile",2012,"Album track on Bear Creek"
"Rise Again","Bear Creek","Brandi Carlile",2012,"Album track on Bear Creek"
