song_name,album,sung_by,year_released,highlights
"Intro: 2 Cool 4 Skool","2 Cool 4 Skool","RM (BTS)",2013,"Debut album intro; RM solo rap; set the rebellious tone of BTS's debut"
"No More Dream","2 Cool 4 Skool","BTS",2013,"Debut lead single; challenged societal pressure on Korean youth; peaked #124 on Gaon Digital Chart"
"We Are Bulletproof Pt.2","2 Cool 4 Skool","BTS",2013,"Fan anthem from debut; reinforces BTS-ARMY bond; Pt.1 was a pre-debut SoundCloud track"
"Like (I Like You)","2 Cool 4 Skool","BTS",2013,"Debut album track; also released as Slow Jam Remix on Special Edition"
"Skit: Circle Room Talk","2 Cool 4 Skool","BTS",2013,"Spoken word skit; debut era glimpse behind the scenes"
"Interlude","2 Cool 4 Skool","BTS",2013,"Debut album interlude"
"Outro: Circle Room Cypher","2 Cool 4 Skool","BTS Rap Line",2013,"Rap line outro on debut album"
"Intro: O!RUL8,2?","O!RUL8,2?","RM (BTS)",2013,"Second EP intro track; RM solo"
"N.O","O!RUL8,2?","BTS",2013,"Lead single; criticized Korean education system; set BTS apart as socially conscious artists"
"Attack on Bangtan (Rise of Bangtan)","O!RUL8,2?","BTS",2013,"High-energy fan favourite; hype track building group identity"
"Paldogangsan (Satoori Rap)","O!RUL8,2?","RM & Suga (BTS)",2013,"Dialect rap battle between RM and Suga about Korean regional accents; humorous and technically impressive"
"We On","O!RUL8,2?","BTS",2013,"Album track; confident early hip-hop"
"Coffee","O!RUL8,2?","BTS",2013,"Softer track showing early range beyond hip-hop"
"If I Ruled the World","O!RUL8,2?","BTS",2013,"Playful aspirational theme; J-Hope and RM led"
"BTS Cypher Pt.1","O!RUL8,2?","BTS Rap Line",2013,"First of iconic cypher series; established RM Suga J-Hope as formidable rappers"
"Skit: R U Happy Now?","O!RUL8,2?","BTS",2013,"Skit track"
"Outro: Luv in Skool","O!RUL8,2?","BTS Vocal Line",2013,"Vocal line outro; early showcase of Jin Jimin V Jungkook"
"Intro: Skool Luv Affair","Skool Luv Affair","BTS Rap Line",2014,"Third EP intro; rap line"
"Boy in Luv","Skool Luv Affair","BTS",2014,"Lead single; breakthrough hit; combined romance with swagger; significantly grew domestic fanbase; sold 200K by year end"
"Just One Day","Skool Luv Affair","BTS",2014,"Single; softer romantic track; became a fan favourite; showed vocal line strength"
"Jump","Skool Luv Affair","BTS",2014,"Energetic B-side; playful and youthful; captures debut era enthusiasm"
"Spine Breaker","Skool Luv Affair","BTS",2014,"Satirical commentary on youth spending on expensive clothes; humorous concept"
"Tomorrow","Skool Luv Affair","BTS",2014,"Motivational anthem about persevering through struggle; deeply resonated with fans"
"Where Did You Come From?","Skool Luv Affair","BTS",2014,"Album track; affectionate and playful"
"BTS Cypher Pt.2: Triptych","Skool Luv Affair","BTS Rap Line",2014,"Darker more aggressive cypher; Suga's verse widely praised"
"Skit: Soulmate","Skool Luv Affair","BTS",2014,"Spoken skit track"
"Outro: Propose","Skool Luv Affair","BTS Vocal Line",2014,"Vocal line outro on second EP"
"Miss Right","Skool Luv Affair Special Edition","BTS",2014,"Bright pop track; only on Special Edition re-release"
"Like (Slow Jam Remix)","Skool Luv Affair Special Edition","BTS",2014,"Remix of debut track; only on Special Edition"
"Unpack Your Bags","Non-album single","RM (BTS)",2014,"Solo single written for RM's appearance on MNet's 4 Things Show; addresses misconceptions about idol rappers vs underground rappers"
"Intro: What Am I to You","Dark & Wild","RM (BTS)",2014,"Full studio album intro; RM solo"
"Danger","Dark & Wild","BTS",2014,"Lead single; intense choreography; marked shift to more mature sound"
"War of Hormone","Dark & Wild","BTS",2014,"Single; playful track about youthful desires; controversial but fan favourite"
"Hip Hop Lover","Dark & Wild","BTS Rap Line",2014,"Tribute to hip-hop culture and influences"
"Let Me Know","Dark & Wild","BTS",2014,"Emotional ballad; vocal line highlight; showed BTS's range beyond hip-hop"
"Rain","Dark & Wild","BTS",2014,"Rap line reflection track; introspective and melancholic"
"BTS Cypher Pt.3: Killer","Dark & Wild","BTS Rap Line",2014,"Confident and commercially sharp cypher; one of the most celebrated in the series; features Supreme Boi"
"Interlude: What Are You Doing","Dark & Wild","BTS",2014,"Album interlude"
"Can You Turn Off Your Phone?","Dark & Wild","BTS",2014,"Album track; slice-of-life relatable theme"
"Blanket Kick","Dark & Wild","BTS",2014,"Adorable relatable track about late night overthinking; widely beloved"
"24/7 Heaven","Dark & Wild","BTS",2014,"Album track; romantic and dreamy"
"Look Here","Dark & Wild","BTS",2014,"Album track"
"2nd Grade","Dark & Wild","BTS",2014,"Rap line showcase; high-energy hip-hop; also listed as So 4 More on some services"
"Outro: Does That Make Sense?","Dark & Wild","BTS Vocal Line",2014,"Vocal line outro closing BTS's debut studio album"
"Intro: Wake Up","Wake Up","BTS",2014,"Instrumental intro to first Japanese album"
"Wake Up","Wake Up","BTS",2014,"Original Japanese track; title track of first Japanese album"
"The Stars","Wake Up","BTS",2014,"Original Japanese track on Wake Up"
"Like Pt.2 - At That Place","Wake Up","BTS",2014,"Original Japanese track; Korean version performed live but not officially recorded"
"No More Dream (Japanese)","Wake Up","BTS",2014,"Japanese version of debut single on Wake Up"
"Attack on Bangtan (Japanese)","Wake Up","BTS",2014,"Japanese version on Wake Up"
"N.O (Japanese)","Wake Up","BTS",2014,"Japanese version on Wake Up"
"Boy in Luv (Japanese)","Wake Up","BTS",2014,"Japanese version on Wake Up"
"Just One Day (Japanese)","Wake Up","BTS",2014,"Japanese version on Wake Up"
"Danger (Japanese)","Wake Up","BTS",2014,"Japanese version on Wake Up"
"Jump (Japanese)","Wake Up","BTS",2014,"Japanese version on Wake Up"
"Voice","RM (Mixtape)","RM (BTS)",2015,"Opening track of RM's debut solo mixtape; available on SoundCloud only"
"Do You","RM (Mixtape)","RM (BTS)",2015,"From RM's debut mixtape; reflective identity track; fan favourite"
"Awakening","RM (Mixtape)","RM (BTS)",2015,"From RM's debut mixtape; intense and introspective"
"Monster","RM (Mixtape)","RM (BTS)",2015,"From RM's debut mixtape; performed at All Force One festival"
"Throw Away","RM (Mixtape)","RM (BTS)",2015,"From RM's debut mixtape"
"Joke","RM (Mixtape)","RM (BTS)",2015,"From RM's debut mixtape; rapid-fire wordplay rap; showed his technical mastery"
